isWin,pr,oppName,oppRating,oppPr,matchLength
true,4.39,jkhajavi,1927.56,12.23,7
true,3.24,MRolovic,2009.49,11.43,7
true,1.79,Milad khodamoradi,2080.8,2.98,5
false,0.8,Burento,2038.66,6.79,7
true,0.7,ismailguclu65,2060.14,6.13,9
false,1.46,pacarolente,2068.72,4.31,5
false,0.64,hkncnl,2025.47,3.14,5
true,1.11,Kosten555,2617.84,2.64,7
true,2.7,Abdullah G.,2191.24,5.05,9
true,2.24,Dumon,1982.59,6.8,5
true,2.12,WH888,2024.22,7.05,5
false,1.72,Bgjürgen54,1847.85,6.4,5
true,3.79,Tablet22,1823.81,10.4,9
true,2.44,BoardLord,2210.17,4.09,5
false,1.33,Efrafjor,2184.72,3.39,5
true,2.15,cfix1,1829.4,6.24,7
true,1.65,Loafer,1839.2,8.69,5
false,2.16,Platon,1954.64,15.68,5
false,1.35,acdex,2476.64,6.97,5
true,1.76,demedideme,1842.3,3.78,5
true,1.88,Gregserg,1846.96,10.12,5
false,3.55,Sanfermin3,2241.57,4.04,5
true,1.62,gianniskefos,2291.29,2.95,5
true,6.55,hakan80,2403.03,7.35,7
false,4.76,mano87,2052.44,6.2,5
true,2.84,eyespy,2459.74,2.68,5
true,2.87,Tavli1,1813.69,11.8,5
false,3.7,muratcan,2056.74,6.99,11
true,1.62,DEGART,1951.93,20.79,5
true,6.51,wristy,2224.3,4.64,5
false,4.38,back2017,2416.92,4.75,11
false,4.4,alicarman,2105.7,5.76,5
true,2.06,Kosten555,2630.35,3.58,7
true,3.08,MattiasRoos,2208.9,5.99,5
true,8.76,cerisen,1891.23,11.1,7
true,5.52,Lions_no20,2247.67,9.7,5
false,2.08,robokoko,2150.73,5.8,5
false,4.29,Tosh,1823.33,5.67,5
true,5.0,Burakyildirim,2076.68,11.27,9
true,5.63,Abstract,1789.85,8.03,5
false,3.26,allentish,2196.03,10.75,7
true,0.87,KobZero,1981.48,2.83,5
false,4.14,Arash_Af,2292.96,6.44,5
true,2.33,fender,1958.23,2.84,5
true,2.61,ryano2008,1923.16,8.78,5
true,2.02,robokoko,2099.57,9.11,5
false,8.06,Quint,2350.78,8.63,9
true,5.08,MarkS,2109.03,6.33,5
true,5.73,Mohammad__aghili,2166.33,4.25,5
true,3.89,Erhansahin,1925.79,8.16,7
true,3.29,y.s,2084.3,5.67,9
false,6.85,Kosten555,2571.92,4.6,7
false,3.05,ludicrous,1877.58,7.74,5
false,1.32,Sahlén,2537.25,2.64,5
false,0.91,mohammadghorbani,1906.3,5.68,5
true,7.5,Faridyamil,1777.58,10.71,5
false,3.21,Abstract,1760.71,11.17,5
false,5.0,C5H8NO4Na,2137.19,7.85,5
true,3.37,peiman_sh,1948.56,3.44,5
true,8.41,Backaholic,2160.47,8.95,7
false,3.35,Zoran,2060.14,9.64,7
false,2.11,Amirparsa,1706.47,6.08,5
true,5.47,RobertOttawa,2081.2,11.94,5
true,2.57,Glowmo,2394.63,7.18,7
true,4.46,Mohammad__aghili,2165.28,8.93,7
true,4.14,mano87,2167.82,8.15,5
false,2.18,kosmo,2336.96,5.61,7
true,3.41,Tazotto,2071.41,8.62,5
true,5.76,Jorge Martínez Salas,1785.16,9.12,5
false,5.3,Kosten555,2604.93,2.9,7
true,6.02,HQRTLAK,2090.9,7.22,7
true,2.83,Haluk Oral,1758.14,9.58,5
true,6.71,OBGBG1,2124.04,3.25,5
true,6.59,Vetdoc666,2058.62,4.16,13
true,1.85,Kian0064,2027.76,5.14,7
false,2.46,BroBroBo,2146.71,0.9,5
true,3.86,Wagr,2080.84,1.84,5
true,2.86,primate2001,1994.65,2.5,5
true,3.1,hosseyn.khoob,2014.28,7.34,7
true,1.27,awatto43,2118.64,10.3,5
true,3.67,persicigo,2352.36,7.8,5
true,1.37,fedexar,1966.24,12.19,5
true,2.57,Quint,2255.1,11.67,5
true,5.41,Janis,1975.47,5.09,5
true,3.94,Sahlén,2518.29,1.97,5
true,4.23,Hamdid,1717.07,15.22,5
false,2.31,Morris1907,1763.48,11.51,5
false,2.06,robokoko,1996.79,7.71,5
false,1.47,Thebenz,1825.3,12.81,5
false,1.77,khodaye_nard,2337.21,2.56,5
true,6.99,Farhad,2556.78,0.06,5
true,2.12,Alijafari,1909.57,6.33,5
true,7.08,BroBroBo,2091.82,2.06,5
false,3.88,kacz,1708.44,5.65,5
true,3.0,Sahlén,2477.25,1.9,5
false,3.69,be_galactic,1728.13,6.1,5
true,7.21,caspianhero,2020.01,13.38,5
false,2.62,1956tara,2040.09,9.43,5
true,3.35,koolhaas,2156.45,3.98,7
true,2.07,Veysel kalfa,1759.01,8.24,5
true,2.44,slot,2231.75,5.56,5
true,2.5,Ehsan jarrah,2280.33,9.14,5
true,3.22,Eksiman,1729.06,15.56,5
true,4.29,AlSalik,2500.94,2.5,5
false,0.98,Chosen one,2266.74,6.39,5
false,1.81,mrm,2168.69,6.75,5
true,3.35,Kosten555,2464.57,4.77,7
false,1.55,Chris153,1773.92,16.52,5
false,2.77,amir-golegolab,2338.67,5.87,5
true,3.49,Henrikilla,2266.93,3.75,5
false,4.55,Kosten555,2501.07,3.38,5
true,4.06,timur_azizov,2290.24,10.0,5
false,3.89,Pulmonata,1816.66,19.76,5
true,4.23,kimhenno,2420.83,2.71,11
true,2.97,Moucarri,1783.95,10.0,7
false,12.06,heredot5,1873.78,8.06,7
true,3.33,Soltan54,1866.31,8.25,7
false,3.01,Arash_Af,2084.73,4.45,7
false,5.39,cemature41,1828.68,15.0,5
false,0.48,richbatt01,1832.46,11.78,5
true,4.59,The Rebel,2065.55,9.08,5
true,6.3,Edmond,1967.36,19.9,5
false,7.2,vye36,2211.64,6.09,7
false,1.62,şeytan,1809.58,7.34,7
true,0.53,Maj,1765.88,17.38,5
true,3.35,Baldeagle,2060.66,6.69,7
true,3.13,fender,1809.72,4.06,7
false,4.83,x66_,1764.27,14.93,5
true,4.39,SusiSorglos,1898.0,6.6,7
false,1.71,king06,1896.68,14.93,5
false,0.0,king06,1896.68,22.04,5
false,5.19,0202,2349.64,1.71,7
true,4.14,vye36,2234.84,3.55,7
false,2.67,jyri,1914.14,8.06,7
true,6.36,yacobov65,2002.17,4.69,5
false,6.81,Mbodla,2253.68,5.6,7
true,6.75,GMoney,1988.43,15.25,7
true,4.23,sava3n,2431.65,5.61,11
false,4.08,gianniskefos,2034.65,15.6,7
true,2.3,avansverir,2117.55,11.42,9
true,4.46,Henrikilla,2250.55,3.48,7
true,4.17,Sanfermin3,2004.02,3.33,7
false,5.96,edris.ashhadi,2437.53,4.85,7
false,4.61,Glowmo,2403.13,6.07,7
true,4.01,sava3n,2429.75,4.0,11
true,3.82,dursuncetin,1925.45,7.93,7
false,2.46,Moa,2564.44,5.14,5
true,2.46,pangloss,1733.01,12.42,7
false,0.39,Sinops,1849.82,8.25,5
false,5.59,sonuc,2079.22,11.68,7
false,4.04,persicigo,2277.86,5.69,7
false,1.41,Soroosh,2068.52,5.34,7
true,1.94,Plata,1792.39,8.65,7
false,5.33,psc1992,2168.89,6.06,7
true,2.59,peiman_sh,1929.99,7.3,7
false,4.29,othello,2389.33,3.11,7
true,4.53,davorK,2012.96,10.52,5
false,5.19,sava3n,2426.46,2.28,11
false,2.8,gianniskefos,1948.55,5.5,7
true,3.2,kimhenno,2306.68,4.43,11
true,3.19,Henrikilla,2202.0,3.55,7
false,7.78,Moa,2566.26,4.57,5
false,3.53,Sanfermin3,2162.58,5.4,5
